bookId,title,new_isbn,new_author
17487.Five_Go_Adventuring_Again,Five Go Adventuring Again,9780745173948,Enid Blyton
8492.Prophet,Prophet,1793880948,Kahlil Gibran
9989287-inner-demons,Inner Demons,0712657576,Norman Rufus Colin Cohn
13318633-rival-demons,Rival Demons,1624210716,Sarra Cannon
13380138-going-under,Going Under,9781957288529,John Madinger
10335701-carrier-of-the-mark,Carrier of the Mark,0007445962,Leigh Fallon
6405929-i-alex-cross,"I, Alex Cross",883042806X,James Patterson
839077.The_Three_Little_Wolves_and_the_Big_Bad_Pig,The Three Little Wolves and the Big Bad Pig,9782227705593,Helen Oxenbury
7671562-ashes-ashes,"Ashes, Ashes",9780684874357,Frank McCourt
420744.Mackenzie_s_Mission,Mackenzie's Mission,037307445X,Linda Howard
11512688-the-dead-of-night,The Dead of Night,0062106910,R. L. Stine
1956954.Don_t_Hex_with_Texas,Don't Hex with Texas,9780345492937,Shanna Swendson
165555.The_Crab_with_the_Golden_Claws,The Crab with the Golden Claws,1484469100,Herge
7314405-ocuklu-un-so-uk-geceleri,Çocukluğun Soğuk Geceleri,9789753632607,Tezer Özlü
16762211-sometimes-never,Sometimes Never,1460399013,Adi Alsaid
8101452-babe-in-boyland,Babe in Boyland,1611682037,Gina Barreca
49176.Games_People_Play,Games People Play,0394171349,Eric Berne
38505.Hollywood,Hollywood,0394581423,Gore Vidal
15774784-ask-for-it,Ask For It,0553903608,Linda Babcock
125542.Stay_Out_of_the_Basement,Stay Out of the Basement,3570201511,R. L. Stine
2353037.Stealing_Heaven,Stealing Heaven,006192007X,Elizabeth Scott
785003.The_Glorious_Cause,The Glorious Cause,0345427564,Jeff Shaara
12924261-this-book-is-full-of-spiders,This Book Is Full of Spiders,1781164568,David Wong
15835685-clash,Clash,0007548249,George R. R. Martin
17235347-life-before-legend,Life Before Legend,Book not found,Author not found
8192391-changing-the-game,Changing the Game,9781783533435,Lucas Simons
13478341-darkness-hunts,Darkness Hunts,9781871307023,Wilbur Smith
43924.Promise_Me,Promise Me,1597376256,Harlan Coben
18775359-after-i-do,After I Do,1681414082,Taylor Jenkins Reid
1519478.Les_Malheurs_de_Sophie,Les Malheurs de Sophie,2070334961,Segur
209390.Just_in_Case,Just in Case,0141318066,Meg Rosoff
6320247-by-darkness-hid,By Darkness Hid,9780982598788,Jill Williamson
60364.Someone_to_Run_With,Someone to Run With,9780747562078,David Grossman
17332968-reality-boy,Reality Boy,9781484440070,A. S. King
19138879-attack-on-titan,"Attack on Titan: No Regrets, Vol. 1",Book not found,Author not found
984561.Lorelei,Lorelei,9780634072031,Alfredo Catalani
23399287-grounded,Grounded: The Adventures of Rapunzel,0545642698,Megan Morrison
13175692-the-shadow-over-innsmouth,The Shadow Over Innsmouth,9798595817769,H. P. Lovecraft
20968.Inspiration,Inspiration: Your Ultimate Calling,1401907237,Wayne W. Dyer
28698224-being-jazz,Being Jazz: My Life as a (Transgender) Teen,Book not found,Author not found
22567184-den-of-wolves,Den of Wolves,1534465251,Jordan Quinn
12442.The_Plague_Dogs,The Plague Dogs,9780449211823,Richard Adams
17412749-the-encyclopedia-of-early-earth,The Encyclopedia of Early Earth,9781448138210,Isabel Greenberg
36195139-the-fortunate-ones,The Fortunate Ones,9780062382498,Ellen Umansky
25909975-kolbe,Kolbe (Geschichte erleben mit Spannung),Book not found,Author not found
45894065-good-morning-midnight,"Good Morning, Midnight",0241261406,Jean Rhys
24388326-the-heart-goes-last,The Heart Goes Last,9788498387612,Margaret Atwood
36344555-all-we-ever-wanted,All We Ever Wanted,038552689X,Janelle Brown
22552026-long-way-down,Long Way Down,9780748108190,Ewan McGregor
25733983-lab-girl,Lab Girl,0349006199,Hope Jahren
39338454-the-bride-test,The Bride Test,8328713519,Helen Hoang
34325090-i-was-born-for-this,I Was Born for This,0849919134,Brian Houston
