bookId,new_author,clean_author,birthplace,latlong,author_used
544257.Midnight_Alley,Rachel Caine,Rachel Caine,United States,38.88333333333333 -77.01666666666667,1
11966216-torn,Edgar Rice Burroughs,Amanda Hocking,"Austin, Minnesota",43.666666666666664 -92.97472222222223,1
33590260-kingdom-of-ash,Sarah J. Maas,Sarah J. Maas,,,2
11607446-the-wishing-spell,Lauren Myracle,Chris Colfer,"Clovis, California",36.82527777777778 -119.70305555555555,1
7719245-paranormalcy,Kiersten White,Kiersten White,Utah,39.0 -111.0,1
3575676-night-world-no-3,L. J. Smith,L.J. Smith,,,2
56495.The_Purpose_Driven_Life,Rick Warren,Rick Warren,"San Jose, California",37.33611111111111 -121.89055555555555,1
43945.Portnoy_s_Complaint,Philip Roth,Philip Roth,"Newark, New Jersey",40.72422 -74.172574,1
6342491-the-demon-king,Cinda Williams Chima,Cinda Williams Chima,,,2
17851885-i-am-malala,,Malala Yousafzai,Swat District,35.2 72.48333333333333,1
53022.The_Collected_Poems_of_W_B_Yeats,A. Norman Jeffares,W.B. Yeats,,,2
113310.The_Eight,Maurice Leblanc,Katherine Neville,Rouen,49.44277777777778 1.0886111111111112,2
193755.The_Diving_Bell_and_the_Butterfly,Jean-Dominique Bauby,Jean-Dominique Bauby,Paris,48.856613 2.352222,1
36954958-crossroads-and-the-dominion-of-four,C. Toni Graham,C. Toni Graham,,,2
27883214-caraval,Stephanie Garber,Stephanie Garber,,,2
6448470-firelight,Henry Beston,Sophie Jordan,,,2
25460.Animal_Vegetable_Miracle,Barbara Kingsolver,Barbara Kingsolver,"Annapolis, Maryland",38.973055555555554 -76.50111111111111,1
104089.Tigana,Guy Gavriel Kay,Guy Gavriel Kay,Weyburn,49.66111111111111 -103.8525,1
63033.The_Savage_Detectives,Roberto Bolaño,Roberto Bolaño,,,2
3054684-stargazer,Claudia Gray,Claudia Gray,,,2
30119.Where_the_Sidewalk_Ends,Shel Silverstein,Shel Silverstein,Chicago,41.88194444444444 -87.62777777777778,1
40940649-i-am-legend,Richard Matheson,Richard Matheson,"Allendale, New Jersey",41.032669 -74.133826,1
2373.The_Bone_Collector,Jeffery Deaver,Jeffery Deaver,"Glen Ellyn, Illinois",41.87111111111111 -88.06305555555555,1
57913.The_Illuminatus_Trilogy,Robert Shea,Robert Shea,,,2
1472878.Firefly_Lane,Kristin Hannah,Kristin Hannah,"Garden Grove, California",33.778888888888886 -117.96027777777778,1
35959740-circe,Madeline Miller,Madeline Miller,Boston,42.360277777777775 -71.05777777777777,1
40409718-post-office,Hugh Lofting,Charles Bukowski,Free State of Prussia,,1
4345498-magic-strikes,Ilona Andrews,Ilona Andrews,,,2
9516.Persepolis,Marjane Satrapi,Marjane Satrapi,,,2
476543.The_Darkest_Night,Charles Eric Maine,Gena Showalter,Oklahoma,35.0 -98.0,1
568236.A_Distant_Mirror,,Barbara W. Tuchman,New York City,40.71277777777778 -74.00611111111111,1
18749.Half_of_a_Yellow_Sun,Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,Enugu,6.4527777777777775 7.511111111111111,1
51779181-the-threat-below,Jason Latshaw,Jason Latshaw,,,2
42389.Band_of_Brothers,,Stephen E. Ambrose,"Lovington, Illinois",39.71388888888889 -88.63472222222222,1
61975.Dragonflight,Anne McCaffrey,Anne McCaffrey,"Cambridge, Massachusetts",42.37361111111111 -71.11055555555555,1
27333.Silent_Spring,Rachel Carson,Rachel Carson,"Springdale, Pennsylvania",40.54138888888889 -79.78222222222222,1
325085.Nicholas_Nickleby,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
2295829.Feast_of_Fools,James Lee Burke,Rachel Caine,United States,38.88333333333333 -77.01666666666667,1
8428064-demonglass,Rachel Hawkins,Rachel Hawkins,Manchester,53.47944444444445 -2.245277777777778,1
1540.The_Oedipus_Cycle,,Sophocles,Hippeios Colonus,,1
33609.Katherine,John Green,Anya Seton,Manhattan,40.78333333333333 -73.96666666666667,1
8659601-the-power-of-six,Subir Chowdhury,Pittacus Lore,,,2
52641918-trouble-on-main-street,Julie F. Gilmour,Kirsten Fullmer,,,2
77262.Animal_Dreams,Barbara Kingsolver,Barbara Kingsolver,"Annapolis, Maryland",38.973055555555554 -76.50111111111111,1
7091488-dead-in-the-family,Charlaine Harris,Charlaine Harris,"Tunica, Mississippi",34.68888888888889 -90.38055555555556,1
752900.Medea,Euripides,Euripides,Salamis Island,37.93333333333333 23.5,1
11084145-steve-jobs,Walter Isaacson,Walter Isaacson,Louisiana,31.0 -92.0,1
6381205-soulless,Gail Carriger,Gail Carriger,"Bolinas, California",37.909444444444446 -122.68638888888889,1
46165.This_Side_of_Paradise,F. Scott Fitzgerald,F. Scott Fitzgerald,"Saint Paul, Minnesota",44.94416666666667 -93.09361111111112,1
6931356-the-duff,,Kody Keplinger,"Owensboro, Kentucky",37.757777777777775 -87.11833333333334,1
31434883-eleanor-oliphant-is-completely-fine,Gail Honeyman,Gail Honeyman,,,2
3992598-the-demigod-files,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
1314332.Before_I_Die,R. E. Sargent,Jenny Downham,,,2
1097.Fast_Food_Nation,,Eric Schlosser,"Manhattan, New York",,1
9593913-requiem,Ramón J. Sender,Lauren Oliver,Queens,40.75 -73.86666666666666,1
47624.Lirael,Garth Nix,Garth Nix,Victoria (Australia),-37.0 144.0,1
5212771-carpe-corpus,Rachel Caine,Rachel Caine,United States,38.88333333333333 -77.01666666666667,1
12936.Gathering_Blue,Lois Lowry,Lois Lowry,Honolulu,21.306944444444444 -157.85833333333332,1
5130.Island,L. Frank Baum,Aldous Huxley,Godalming,51.18 -0.61,1
18864.The_Rum_Diary,Hunter S. Thompson,Hunter S. Thompson,"Louisville, Kentucky",38.25611111111111 -85.75138888888888,1
60931.Kindred,Octavia E. Butler,Octavia E. Butler,"Pasadena, California",34.15611111111111 -118.13194444444444,1
25899336-when-breath-becomes-air,Paul Kalanithi,Paul Kalanithi,,,2
42058.Richard_III,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
8525590-wither,George Wither,Lauren DeStefano,Connecticut,41.6 -72.7,1
11947829-ascend,Miya Kazuki,Amanda Hocking,"Austin, Minnesota",43.666666666666664 -92.97472222222223,1
69571.Rich_Dad_Poor_Dad,Robert T. Kiyosaki,Robert T. Kiyosaki,,,2
7544603-smaragdgr-n,Kerstin Gier,Kerstin Gier,,,2
781787.Out_of_Africa,Isak Dinesen,Isak Dinesen,,,2
8600.Eats_Shoots_Leaves,Lynne Truss,Lynne Truss,,,2
47953.The_Black_Jewels_Trilogy,,Anne Bishop,,,2
16150830-never-fade,Charles François Philibert Masson,Alexandra Bracken,"Phoenix, Arizona",33.44833333333333 -112.07388888888889,1
2677.A_Modest_Proposal_and_Other_Satirical_Works,Jonathan Swift,Jonathan Swift,Dublin,53.35 -6.260277777777778,1
16102004-beautiful-bastard,Christina Lauren,Christina Lauren,,,2
58922.The_Runaway_Bunny,Margaret Wise Brown,Margaret Wise Brown,Brooklyn,40.69277777777778 -73.99027777777778,1
17849112-world-after,Frank Thomas Bullen,Susan Ee,,,2
2241059.Identical,Robert Ludlum,Ellen Hopkins,"Long Beach, California",33.76833333333333 -118.19555555555556,1
3140.The_Bridge_on_the_Drina,Ivo Andrić,Ivo Andrić,Austria-Hungary,48.2 16.35,1
334643.Abhorsen,Garth Nix,Garth Nix,Victoria (Australia),-37.0 144.0,1
38462.Giovanni_s_Room,James Baldwin,James Baldwin,New York City,40.71277777777778 -74.00611111111111,1
20454107-coma,Robin Cook,Robin Cook,Bellshill,55.816 -4.026,1
6587387-silver-borne,Patricia Briggs,Patricia Briggs,"Butte, Montana",45.99888888888889 -112.52416666666667,1
394469.Suttree,Cormac McCarthy,Cormac McCarthy,"Providence, Rhode Island",41.82361111111111 -71.42222222222222,1
20170404-station-eleven,Emily St. John Mandel,Emily St. John Mandel,"Merville, British Columbia",49.78333333333333 -125.06666666666666,1
51428.Rebel_Angels,Robertson Davies,Libba Bray,United States,38.88333333333333 -77.01666666666667,1
3432478-the-forest-of-hands-and-teeth,Carrie Ryan,Carrie Ryan,,,2
6080337-the-year-of-the-flood,Margaret Atwood,Margaret Atwood,Ottawa,45.42472222222222 -75.695,1
1274.Men_Are_from_Mars_Women_Are_from_Venus,John Gray,John Gray,,,2
12321.Beyond_Good_and_Evil,Friedrich Nietzsche,Friedrich Nietzsche,Province of Saxony,52.13333333333333 11.616666666666667,1
11561469-reason-to-breathe,Deborah Raney,Rebecca Donovan,U.S.,,1
704043.Kiss_of_Midnight,Lara Adrian,Lara Adrian,,,2
22284.Diary,Samuel Pepys,Chuck Palahniuk,"Pasco, Washington",46.23861111111111 -119.10861111111112,1
5344.Hard_Times,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
61179.Ringworld,Larry Niven,Larry Niven,California,35.491035 -119.347852,1
83143.Tatiana_and_Alexander,Paullina Simons,Paullina Simons,Russian Soviet Federative Socialist Republic,,1
63032.2666,Roberto Bolaño,Roberto Bolaño,,,2
22544764-uprooted,Nancy Caro Hollander,Naomi Novik,New York (state),43.0 -76.0,1
667234.The_Cat_in_the_Hat_Comes_Back,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
43944.Suite_Fran_aise,Irène Némirovsky,Irène Némirovsky,Russian Empire,,1
4692.The_Physician,Noah Gordon,Noah Gordon,,,2
393199.Down_and_Out_in_Paris_and_London,George Orwell,George Orwell,Bengal Presidency,22.566 88.3464,1
40159.The_King_of_Attolia,Megan Whalen Turner,Megan Whalen Turner,Fort Sill,34.67111111111111 -98.38972222222222,1
16343.The_Mysterious_Affair_at_Styles,Agatha Christie,Agatha Christie,Devon,50.71666666666667 -3.716666666666667,1
20821111-the-young-elites,Marie Lu,Marie Lu,China,39.916666666666664 116.38333333333334,1
248484.Book_of_a_Thousand_Days,Shannon Hale,Shannon Hale,"Salt Lake City, Utah",,1
6174.Survival_in_Auschwitz,Primo Levi,Primo Levi,Turin,45.079166666666666 7.676111111111111,1
6581511-shadowland,Peter Straub,Alyson Noel,Milwaukee,43.05 -87.95,2
6101718-the-magicians,C. S. Lewis,Lev Grossman,"Concord, Massachusetts",42.460277777777776 -71.34944444444444,1
13615.Death_Note_Vol_1,,Tsugumi Ohba,,,2
12083.Long_Day_s_Journey_into_Night,Eugene O'Neill,Eugene O'Neill,New York (state),43.0 -76.0,1
433567.Flatland,Edwin Abbott Abbott,Edwin A. Abbott,Marylebone,51.5177 -0.147,2
11564.The_Girl_Who_Loved_Tom_Gordon,Stephen King,Stephen King,Maine,45.0 -69.0,1
11925514-code-name-verity,Elizabeth Wein,Elizabeth Wein,,,2
59264.Ptolemy_s_Gate,Jonathan Stroud,Jonathan Stroud,Bedford,52.135 -0.47,1
17623975-just-one-day,Ladybug Journals,Gayle Forman,"Los Angeles, California",,1
4447622-some-girls-bite,Chloe Neill,Chloe Neill,,,2
7603.Reading_Lolita_in_Tehran,,Azar Nafisi,Iran,35.68333333333333 51.416666666666664,1
12930.Messenger,Edward Phillips Oppenheim,Lois Lowry,Honolulu,21.306944444444444 -157.85833333333332,1
149196.Eva_Luna,Isabel Allende,Isabel Allende,Peru,-12.043333333333333 -77.02833333333334,1
9557.Sputnik_Sweetheart,Haruki Murakami,Haruki Murakami,"Fushimi-ku, Kyoto",34.93611111111111 135.7613888888889,1
5152561-fragile-eternity,Melissa Marr,Melissa Marr,,,2
70241.Crash,Neal Stephenson,J.G. Ballard,Maryland,39.0 -77.0,2
30474.The_Communist_Manifesto,Karl Marx,Karl Marx,German Confederation,50.108 8.675,1
10566.Lisey_s_Story,Stephen King,Stephen King,Maine,45.0 -69.0,1
12294652-my-life-next-door,Huntley Fitzpatrick,Huntley Fitzpatrick,,,2
106264.Sarah_Plain_and_Tall,Patricia MacLachlan,Patricia MacLachlan,"Cheyenne, Wyoming",41.14 -104.82027777777778,1
7198988-dark-flame,Alyson Noël,Alyson Noel,"Laguna Beach, California",33.53138888888889 -117.76916666666666,2
161099.Good_Night_Mr_Tom,Michelle Magorian,Michelle Magorian,Hampshire,51.0575 -1.3075,1
59715.The_Authoritative_Calvin_and_Hobbes,,Bill Watterson,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
4835.Haroun_and_the_Sea_of_Stories,Salman Rushdie,Salman Rushdie,Bombay,,1
43037.The_Call_of_the_Wild_White_Fang_and_Other_Stories,Jack London,Jack London,California,35.491035 -119.347852,1
3934321-nightfall,Isaac Asimov,L.J. Smith,Petrovichi,53.975 32.15888888888889,2
89723.The_Lottery_and_Other_Stories,Shirley Jackson,Shirley Jackson,San Francisco,37.7775 -122.41638888888889,1
34506.The_Light_Fantastic,Terry Pratchett,Terry Pratchett,Beaconsfield,51.600873 -0.634682,1
10746542-the-sense-of-an-ending,"Kermode, Frank",Julian Barnes,Leicester,52.63444444444445 -1.1319444444444444,1
447.Moon_Palace,Paul Auster,Paul Auster,"Newark, New Jersey",40.72422 -74.172574,1
140963.O_Pioneers_,Willa Cather,Willa Cather,"Gore, Virginia",39.263888888888886 -78.33194444444445,1
13644055-opposition,Amy Tan,Jennifer L. Armentrout,"Martinsburg, West Virginia",39.45916666666667 -77.96777777777778,1
768889.A_Storm_of_Swords,George R. R. Martin,George R.R. Martin,"Bayonne, New Jersey",40.66253 -74.110192,2
3273.Moloka_i,Alan Brennert,Alan Brennert,"Englewood, New Jersey",40.891197 -73.972515,1
8662836-chain-reaction,Brian Balogh,Simone Elkeles,"Chicago, Illinois",,1
59263.The_Golem_s_Eye,Jonathan Stroud,Jonathan Stroud,Bedford,52.135 -0.47,1
5941033-let-the-great-world-spin,Colum McCann,Colum McCann,Dublin,53.35 -6.260277777777778,1
161744.Common_Sense,Thomas Paine,Thomas Paine,Thetford,52.41 0.74,1
509784.The_End_of_Eternity,Isaac Asimov,Isaac Asimov,Petrovichi,53.975 32.15888888888889,1
31332.The_Vampire_Armand,Anne Rice,Anne Rice,"New Orleans, Louisiana",,1
41453422-drum-beats-heart-beats,,Maria Nhambu,,,2
228630.Black_Boy,Richard Wright,Richard Wright,,,2
9761771-pure,G. H. Hardy,Jennifer L. Armentrout,"Martinsburg, West Virginia",39.45916666666667 -77.96777777777778,1
19581.Ghost_Story,Algernon Blackwood,Peter Straub,Milwaukee,43.05 -87.95,1
84145.Dance_with_the_Devil,Kirk Douglas,Sherrilyn Kenyon,"Columbus, Georgia",32.492222222222225 -84.94027777777778,1
9593.Gal_pagos,Kurt Vonnegut,Kurt Vonnegut Jr.,Indianapolis,39.76861111111111 -86.15805555555555,2
310146.The_True_Confessions_of_Charlotte_Doyle,Avi,Avi,,,2
15724396-the-sword-of-summer,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
80890.Buddenbrooks,Thomas Mann,Thomas Mann,Free City of Lübeck,53.86972222222222 10.686388888888889,1
99298.The_Harry_Potter_Collection_1_4,,J.K. Rowling,,,2
26216087-the-egyptian,L. Frank Baum,Mika Waltari,Grand Duchy of Finland,,1
9917938-blood-red-road,Moira Young,Moira Young,Canada,45.4 -75.66666666666667,1
16033842-la-v-rit-sur-l-affaire-harry-quebert,Joël Dicker,Joël Dicker,Geneva,46.20166666666667 6.146944444444444,1
32439.Intensity,Dean Koontz,Dean Koontz,"Everett, Pennsylvania",40.01416666666667 -78.37333333333333,1
9761778-deity,Samuel Alexander,Jennifer L. Armentrout,"Martinsburg, West Virginia",39.45916666666667 -77.96777777777778,1
12558285-splintered,Alan Dean Foster,A.G. Howard,New York City,40.71277777777778 -74.00611111111111,2
43565225-eye-for-eye,Anthony Trollope,J.K. Franko,,,2
32620332-the-seven-husbands-of-evelyn-hugo,Taylor Jenkins Reid,Taylor Jenkins Reid,Maryland,39.0 -77.0,1
80176.Winesburg_Ohio,Sherwood Anderson,Sherwood Anderson,"Camden, Ohio",39.630833333333335 -84.64888888888889,1
6050678-leviathan,Thomas Hobbes,Scott Westerfeld,Dallas,32.77916666666667 -96.80888888888889,1
6837103-the-kitchen-house,Kathleen Grissom,Kathleen Grissom,,,2
18130.A_Wind_in_the_Door,Madeleine L'Engle,Madeleine L'Engle,New York City,40.71277777777778 -74.00611111111111,1
27833670-dark-matter,Blake Crouch,Blake Crouch,"Statesville, North Carolina",35.78666666666667 -80.87861111111111,1
92364.Eye_of_the_Needle,William Dean Howells,Ken Follett,Cardiff,51.48166666666667 -3.1791666666666667,1
31244.Our_Mutual_Friend,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
16069030-the-winner-s-curse,Marie Rutkoski,Marie Rutkoski,"Hinsdale, Illinois",41.800555555555555 -87.92805555555556,1
8648.Xenocide,Orson Scott Card,Orson Scott Card,"Richland, Washington",46.27972222222222 -119.28138888888888,1
1170158.The_Earthsea_Trilogy,Ursula K. Le Guin,Ursula K. Le Guin,"Berkeley, California",37.87166666666667 -122.27277777777778,1
1869.Nickel_and_Dimed,,Barbara Ehrenreich,"Butte, Montana",45.99888888888889 -112.52416666666667,1
18798983-the-wrath-and-the-dawn,Renée Ahdieh,Renée Ahdieh,,,2
85443.The_Lords_of_Discipline,Pat Conroy,Pat Conroy,Georgia (U.S. state),33.0 -83.0,1
13223520-existence,Martin Heidegger,Abbi Glines,"Birmingham, Alabama",33.5175 -86.80944444444444,1
22557520-after,Mary Roberts Rinehart,Anna Todd,"Dayton, Ohio",39.75944444444445 -84.19166666666666,1
12875258-tell-the-wolves-i-m-home,Carol Rifka Brunt,Carol Rifka Brunt,,,2
121127.Faith_of_the_Fallen,Terry Goodkind,Terry Goodkind,"Omaha, Nebraska",41.25861111111111 -95.9375,1
78418.The_Reptile_Room,,Lemony Snicket,,,2
4932435-finnikin-of-the-rock,Melina Marchetta,Melina Marchetta,Sydney,-33.867777777777775 151.21,1
20564.The_Mill_on_the_Floss,George Eliot,George Eliot,England,51.5 -0.11666666666666667,1
13600318-reckless,P. G. Wodehouse,S.C. Stephens,,,2
11367726-defending-jacob,William Landay,William Landay,Boston,42.360277777777775 -71.05777777777777,1
93724.Twilight,Stephenie Meyer,Meg Cabot,"Bloomington, Indiana",39.16222222222222 -86.52916666666667,1
2986865-eon,,Alison Goodman,"Melbourne, Victoria",,1
383206.Wives_and_Daughters,Elizabeth Cleghorn Gaskell,Elizabeth Gaskell,"Chelsea, London",51.4875 -0.1684,1
113205.Heart_of_a_Dog,Albert Payson Terhune,Mikhail Bulgakov,Russian Empire,,1
12971616-the-rise-of-nine,Pittacus Lore,Pittacus Lore,,,2
16130549-doctor-sleep,Stephen King,Stephen King,Maine,45.0 -69.0,1
13326831-the-testing,Tom Wolfe,Joelle Charbonneau,"Richmond, Virginia",37.54083333333333 -77.43666666666667,2
62031.The_City_of_Dreaming_Books,Walter Moers,Walter Moers,Mönchengladbach,51.2 6.433333333333334,1
32650.The_Return_of_the_Native,Thomas Hardy,Thomas Hardy,Stinsford,50.7181 -2.4101,1
32559.The_Fall_of_the_House_of_Usher_and_Other_Tales,Edgar Allan Poe,Edgar Allan Poe,Boston,42.360277777777775 -71.05777777777777,1
21969786-more-than-this,Margo Candela,Patrick Ness,Virginia,37.0 -79.0,1
77773.To_Say_Nothing_of_the_Dog,Jerome Klapka Jerome,Connie Willis,Denver,39.7392 -104.985,1
1278752.The_House_at_Riverton,Kate Morton,Kate Morton,"Berri, South Australia",-34.28333333333333 140.6,1
5349.The_Rainmaker,John Grisham,John Grisham,"Jonesboro, Arkansas",35.82805555555556 -90.69416666666666,1
4325.Dreamland,Kevin Baker,Sarah Dessen,"Evanston, Illinois",42.04638888888889 -87.69472222222223,1
7100490-the-forbidden-game,Dan Washburn,L.J. Smith,"Danville, Pennsylvania",40.961666666666666 -76.61194444444445,2
448873.The_Thief,E. W. Hornung,Megan Whalen Turner,Fort Sill,34.67111111111111 -98.38972222222222,1
25614492-salt-to-the-sea,Ruta Sepetys,Ruta Sepetys,Detroit,42.33138888888889 -83.04583333333333,1
2054.The_Long_Goodbye,Raymond Chandler,Raymond Chandler,,,2
15784909-this-girl,Colleen Hoover,Colleen Hoover,"Sulphur Springs, Texas",33.134166666666665 -95.60194444444444,1
7129598-nevermore,James Patterson,Kelly Creagh,"Newburgh, New York",41.51972222222222 -74.0213888888889,2
7664334-amy-roger-s-epic-detour,Morgan Matson,Morgan Matson,New York City,40.71277777777778 -74.00611111111111,1
784911.Rise_of_the_Evening_Star,Brandon Mull,Brandon Mull,"Utah, United States",,1
359375.Night_Watch,W. W. Jacobs,Sergei Lukyanenko,"Karatau, Kazakhstan",43.166666666666664 70.45,1
77565.The_Fall_of_Hyperion,Dan Simmons,Dan Simmons,"Peoria, Illinois",40.69365 -89.58899,1
45100.Ship_of_Magic,Robin Hobb,Robin Hobb,"Berkeley, California",37.87166666666667 -122.27277777777778,1
58085.The_Sight,Hassan Khan,David Clement-Davies,,,2
668.We_the_Living,Anthony Trollope,Ayn Rand,Russian Empire,,1
10757833-beautiful-chaos,Robert M. Drake,Kami Garcia,,,2
127459.The_Sweet_Far_Thing,Libba Bray,Libba Bray,United States,38.88333333333333 -77.01666666666667,1
16113791-the-coincidence-of-callie-kayden,Jessica Sorensen,Jessica Sorensen,,,2
357.The_Long_Dark_Tea_Time_of_the_Soul,Douglas Adams,Douglas Adams,Cambridge,52.20527777777778 0.11916666666666667,1
816953.Someone_Like_You,Roald Dahl,Sarah Dessen,"Evanston, Illinois",42.04638888888889 -87.69472222222223,1
34002132-oathbringer,Brandon Sanderson,Brandon Sanderson,"Lincoln, Nebraska",40.80888888888889 -96.67888888888889,1
35231.Lord_of_Chaos,Robert Jordan,Robert Jordan,"Charleston, South Carolina",32.78333333333333 -79.93194444444444,1
205476.Our_Town,Thornton Wilder,Thornton Wilder,"Madison, Wisconsin",43.07472222222222 -89.38416666666667,1
1428.By_the_River_Piedra_I_Sat_Down_and_Wept,Paulo Coelho,Paulo Coelho,Brazil,-15.783333333333333 -47.86666666666667,1
234184.Stone_of_Tears,Terry Goodkind,Terry Goodkind,"Omaha, Nebraska",41.25861111111111 -95.9375,1
139253.The_House_on_Mango_Street,Sandra Cisneros,Sandra Cisneros,Chicago,41.88194444444444 -87.62777777777778,1
1305.Gates_of_Fire,Steven Pressfield,Steven Pressfield,"Port of Spain, Trinidad",,1
91981.The_Dragonbone_Chair,Tad Williams,Tad Williams,"San Jose, California",37.33611111111111 -121.89055555555555,1
13927.Son_of_the_Shadows,Ivan Obolensky,Juliet Marillier,Dunedin,-45.87416666666667 170.5036111111111,1
1249630.Os_Maias,Eça de Queiroz,Eça de Queirós,Póvoa de Varzim,41.38 -8.760833333333334,2
10589.Bag_of_Bones,Stephen King,Stephen King,Maine,45.0 -69.0,1
13836.Wild_Magic,Tamora Pierce,Tamora Pierce,"South Connellsville, Pennsylvania",39.99805555555555 -79.58611111111111,1
6091075-so-long-and-thanks-for-all-the-fish,Douglas Adams,Douglas Adams,Cambridge,52.20527777777778 0.11916666666666667,1
2161733.Child_44,Tom Rob Smith,Tom Rob Smith,,,2
27037.Confessions,Augustine of Hippo,Augustine of Hippo,Numidia Cirtensis,,1
6614960-house-rules,John Irving,Jodi Picoult,"Nesconset, New York",40.846111111111114 -73.15055555555556,1
16255.Tales_of_the_City,Armistead Maupin,Armistead Maupin,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
9565548-grave-mercy,Robin LaFevers,Robin LaFevers,,,2
17378527-the-raven-king,Maggie Stiefvater,Maggie Stiefvater,"Harrisonburg, Virginia",38.449444444444445 -78.86888888888889,1
9912.The_Rules_of_Attraction,Bret Easton Ellis,Bret Easton Ellis,California,35.491035 -119.347852,1
3754026-beyond-the-shadows,Brent Weeks,Brent Weeks,,,2
187812.Avalon_High,Meg Cabot,Meg Cabot,"Bloomington, Indiana",39.16222222222222 -86.52916666666667,1
13637412,,سعود السنعوسي,,,2
13125947-reached,Lada Kratky,Ally Condie,"Cedar City, Utah",37.6775 -113.06194444444445,1
18189606-since-you-ve-been-gone,Anouska Knight,Morgan Matson,New York City,40.71277777777778 -74.00611111111111,1
18297707-tangled,Lewis Carroll,Emma Chase,Daresbury,53.3402 -2.6332,2
316845.The_Sword_in_the_Stone,T. H. White,T.H. White,Mumbai,19.07611111111111 72.8775,2
20698530-p-s-i-still-love-you,Jenny Han,Jenny Han,"Richmond, Virginia",37.54083333333333 -77.43666666666667,1
19312.The_Brothers_Lionheart,,Astrid Lindgren,Vimmerby,57.666666666666664 15.85,1
13145.Along_Came_a_Spider,James Patterson,James Patterson,"Newburgh, New York",41.51972222222222 -74.0213888888889,1
6574102-heist-society,Ally Carter,Ally Carter,"Locust Grove, Oklahoma",36.19722222222222 -95.16694444444444,1
55403.Black_Hawk_Down,,Mark Bowden,United States,38.88333333333333 -77.01666666666667,1
34507.Equal_Rites,Terry Pratchett,Terry Pratchett,Beaconsfield,51.600873 -0.634682,1
608474.The_Sign_of_Four,Arthur Conan Doyle,Arthur Conan Doyle,Edinburgh,55.95333333333333 -3.1891666666666665,1
32418.Hannibal,Thomas Harris,Thomas Harris,"Jackson, Tennessee",35.614444444444445 -88.81388888888888,1
12194.Lord_Jim,Joseph Conrad,Joseph Conrad,Berdychiv,49.9 28.566666666666666,1
3754016-shadow-s-edge,Brent Weeks,Brent Weeks,,,2
767171.The_Rise_and_Fall_of_the_Third_Reich,,William L. Shirer,Chicago,41.88194444444444 -87.62777777777778,1
16282066-significance,Irwin Edman,Shelly Crane,,,2
9572203-the-snowman,Raymond Briggs,Jo Nesbø,Oslo,59.913333333333334 10.738888888888889,1
31456.The_Twits,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
248482.Enna_Burning,Shannon Hale,Shannon Hale,"Salt Lake City, Utah",,1
457264.The_Second_Sex,Mary Daly,Simone de Beauvoir,Paris,48.856613 2.352222,1
13615258-free-four,Veronica Roth,Veronica Roth,New York City,40.71277777777778 -74.00611111111111,1
14384.A_Hunger_Like_No_Other,,Kresley Cole,,,2
43328.Rage_of_Angels,Sidney Sheldon,Sidney Sheldon,Chicago,41.88194444444444 -87.62777777777778,1
16213.The_Hot_Zone,,Richard Preston,"Cambridge, Massachusetts",42.37361111111111 -71.11055555555555,1
38359036-the-tattooist-of-auschwitz,Heather Morris,Heather Morris,California,35.491035 -119.347852,1
138872.Follow_the_River,James Alexander Thom,James Alexander Thom,,,2
53447.El_t_nel,Ernesto Sabato,Ernesto Sabato,"Rojas, Buenos Aires",-34.18333333333333 -60.733333333333334,1
16181.The_Constant_Princess,Philippa Gregory,Philippa Gregory,Nairobi,-1.2863888888888888 36.81722222222222,1
187811.Shadowland,Peter Straub,Meg Cabot,"Bloomington, Indiana",39.16222222222222 -86.52916666666667,1
271199.Fruits_Basket_Vol_1,Natsuki Takaya,Natsuki Takaya,Tokyo,35.68972222222222 139.69222222222223,1
31072.Under_the_Volcano,Malcolm Lowry,Malcolm Lowry,Merseyside,53.416666666666664 -3.0,1
6289938-fade-out,Patrick Tilley,Rachel Caine,United States,38.88333333333333 -77.01666666666667,1
40097951-the-silent-patient,Alex Michaelides,Alex Michaelides,,,2
7442.The_Electric_Kool_Aid_Acid_Test,Tom Wolfe,Tom Wolfe,"Richmond, Virginia",37.54083333333333 -77.43666666666667,1
616828.Heart_of_Darkness_and_The_Secret_Sharer,Joseph Conrad,Joseph Conrad,Berdychiv,49.9 28.566666666666666,1
5348.The_Testament,John Grisham,John Grisham,"Jonesboro, Arkansas",35.82805555555556 -90.69416666666666,1
77770.These_Happy_Golden_Years,Laura Ingalls Wilder,Laura Ingalls Wilder,"Pepin County, Wisconsin",44.6 -92.0,1
776407.The_House_at_Pooh_Corner,A. A. Milne,A.A. Milne,"Kilburn, London",51.5366 -0.2039,2
