bookId,new_author,clean_author,birthplace,latlong,author_used
13612031-against-the-wall,S. Prakash Sethi,Julie Prestsater,,,2
333301.The_Return_of_Martin_Guerre,Natalie Zemon Davis,Natalie Zemon Davis,Detroit,42.33138888888889 -83.04583333333333,1
10345708-deadly-little-lessons,Laurie Faria Stolarz,Laurie Faria Stolarz,,,2
15786285-a-witch-s-handbook-of-kisses-and-curses,Molly Harper,Molly Harper,Kentucky,37.0 -86.0,1
171008.Caribbean_Cruising,Donald M. Street Jr.,Rachel Hawthorne,,,2
20454084-daring,G. A. Henty,Elliott James,"Trumpington, Cambridgeshire",,2
10305247-the-blackhouse,Peter May,Peter May,,,2
18775203-rusty-nailed,J. A. Konrath,Alice Clayton,"Skokie, Illinois",42.033611111111114 -87.73277777777778,2
420747.A_Game_of_Chance,Linda Howard,Linda Howard,Alabama,33.0 -87.0,1
21432474-wraith,Terry Brooks,Joe Hill,"Sterling, Illinois",41.79666666666667 -89.69333333333333,2
34082.The_Waste_Land_and_Other_Writings,T. S. Eliot,T.S. Eliot,"St. Louis, Missouri",,2
21952189-the-seduction-1,Lisa Marie Canfield,Roxy Sloane,,,2
117369.Nobody_s_Baby_But_Mine_This_Heart_of_Mine,Susan Elizabeth Phillips,Susan Elizabeth Phillips,"Cincinnati, Ohio",,1
18143974-the-blazing-world,Margaret Cavendish,Siri Hustvedt,"Northfield, Minnesota",44.458333333333336 -93.16111111111111,1
94053.River_Town,Peter Hessler,Peter Hessler,,,2
13244578-untouchable,Mulk Raj Anand,Lindsay Delagair,Peshawar,34.01444444444444 71.5675,2
49384.Elminster,,Ed Greenwood,,,2
2039091.Sword_of_God,Chris Kuzneski,Chris Kuzneski,"Indiana, Pennsylvania",40.61666666666667 -79.15,1
37772.A_Man_of_the_People,Chinua Achebe,Chinua Achebe,British Nigeria,,1
184962.Dancing_with_the_Devil,Kirk Douglas,Keri Arthur,"Amsterdam (city), New York",42.95 -74.18333333333334,2
9518873-the-upside-of-irrationality,Dan Ariely,Dan Ariely,New York City,40.71277777777778 -74.00611111111111,1
61957.Decision_at_Doona,Anne McCaffrey,Anne McCaffrey,"Cambridge, Massachusetts",42.37361111111111 -71.11055555555555,1
15016.The_Complete_Conversations_with_God,,Neale Donald Walsch,"Milwaukee, Wisconsin",,1
6629359-the-strangest-man,,Graham Farmelo,,,2
18006456-shards-of-time,Lynn Flewelling,Lynn Flewelling,Maine,45.0 -69.0,1
213916.Evidence_Not_Seen,,Darlene Deibler Rose,,,2
10583000-the-devil-in-the-flesh,Raymond Radiguet,Raymond Radiguet,Saint-Maur-des-Fossés,48.7994 2.4997,1
18114540-rise-and-fall,"Edward Bulwer Lytton, Baron Lytton",Eliot Schrefer,"Chicago, Illinois",,1
10843036-perfect-shadow,Brent Weeks,Brent Weeks,,,2
13392817-river-of-smoke,,Amitav Ghosh,West Bengal,22.566666666666666 88.36666666666666,1
83533.The_Age_of_Spiritual_Machines,,Ray Kurzweil,,,2
53535.Law_of_Attraction,,Michael J. Losier,,,2
1045984.Esta_o_Carandiru,Drauzio Varella,Drauzio Varella,Brazil,-15.783333333333333 -47.86666666666667,1
25776210-fire-touched,Patricia Briggs,Patricia Briggs,"Butte, Montana",45.99888888888889 -112.52416666666667,1
2401818.House_of_Cards,Michael Dobbs,C.E. Murphy,England,51.5 -0.11666666666666667,2
88363.White_Lines,Kathleen BELYEA,Tracy Brown,,,2
30644891-the-book-of-the-unnamed-midwife,Meg Elison,Meg Elison,,,2
18478083-kissing-in-america,Margo Rabb,Margo Rabb,,,2
2340.Whitethorn,Maeve Binchy,Bryce Courtenay,Johannesburg,-26.204444444444444 28.045555555555556,1
29348304-so-much-more,yasser lakssir,Kim Holden,,,2
6845606-the-yamas-niyamas,,Deborah Adele,,,2
12926807-lucid,Rêves Lucides Rêves Lucides Edition,Adrienne Stoltz,,,2
25985420-narraciones-extraordinarias,Edgar Allan Poe,Edgar Allan Poe,Boston,42.360277777777775 -71.05777777777777,1
