78,18499,2973943-the-hunt-for-the-seventh,Christine Morton-shaw,Christine Morton-Shaw,,,2
79,18500,432288.The_Grass_Is_Always_Greener_over_the_Septic_Tank,Erma Bombeck,Erma Bombeck,"Bellbrook, Ohio",39.6375 -84.08833333333334,1
80,18501,10588.Nightmares_and_Dreamscapes,,Stephen King,Maine,45.0 -69.0,1
81,18502,568116.Hero_in_the_Shadows,"Gemmell, David",David Gemmell,London,51.507222222222225 -0.1275,1
82,18503,271248.Bleach_Volume_09,,Tite Kubo,,,2
83,18504,13079.Skinny_Dip,Carl Hiaasen,Carl Hiaasen,"Fort Lauderdale, Florida",26.133333333333333 -80.15,1
84,18505,2515832.The_Reapers,Josh Bazell,John Connolly,,,2
85,18506,27310.Muhammad,Maulan Muhammad Ashiq Elahi Bulandshehri,Karen Armstrong,Worcestershire,52.2 -2.1666666666666665,1
86,18507,128642.The_Straw_Men,"Marshall, Michael",Michael Marshall,,,2
87,18508,66676.The_Two_Swords,John L. McKenzie,R.A. Salvatore,,,2
88,18509,6680441-hunting-julian,Jacquelyn Frank,Jacquelyn Frank,,,2
89,18510,586335.Cheater_Pants,Barbara Park,Barbara Park,"Mount Holly, New Jersey",39.995336 -74.786473,1
90,18511,231012.A_Gift_of_Dragons,Anne McCaffrey,Anne McCaffrey,"Cambridge, Massachusetts",42.37361111111111 -71.11055555555555,1
91,18512,3488375-wait-till-your-vampire-gets-home,Michele Bardsley,Michele Bardsley,,,2
92,18513,690644.A_Night_in_Terror_Tower,R. L. Stine,R.L. Stine,,,2
93,18514,6528512-pop,Small Small Jabir,Gordon Korman,Canada,45.4 -75.66666666666667,1
94,18515,7098832-the-devil-wears-plaid,Teresa Medeiros,Teresa Medeiros,,,2
95,18516,66084.Bella_at_Midnight,Diane Stanley,Diane Stanley,"Abilene, Texas",32.45 -99.75,1
96,18517,9428881-veiled-eyes,Lila Azam Zanganeh,C.L. Bevill,,,2
97,18518,357640.Where_s_My_Hero_,Lisa Kleypas,Lisa Kleypas,"Temple, Texas",31.1 -97.35,1
98,18519,319033.The_Corinthian,Georgette Heyer,Georgette Heyer,,,2
99,18520,82991.Silence_of_the_Grave,Arnaldur Indriðason,Arnaldur Indriðason,Reykjavík,64.14666666666666 -21.94,1
100,18521,527862.The_Acid_House,Irvine Welsh,Irvine Welsh,Leith,55.98 -3.17,1
101,18522,8608083-mister-slaughter,Robert McCammon,Robert R. McCammon,,,2
102,18523,8872180-i-don-t-want-to-kill-you,Dan Wells,Dan Wells,,,2
103,18524,76625.Never_Have_Your_Dog_Stuffed,,Alan Alda,The Bronx,40.83722222222222 -73.8861111111111,1
104,18525,11300451-the-beach-trees,Karen White,Karen White,"Tulsa, Oklahoma",36.131388888888885 -95.93722222222222,1
105,18526,3545945-born-again,Alfred Lawson,Charles W. Colson,,,2
106,18527,578634.Body_Language,,Allan Pease,,,2
107,18528,7717338-the-forever-queen,Helen Hollick,Helen Hollick,,,2
108,18529,32639.Sacrament,William Vickers,Clive Barker,Liverpool,53.4075 -2.9919444444444445,1
109,18530,902792.The_World_s_Wife,Marietta Holley,Carol Ann Duffy,Glasgow,55.861111111111114 -4.25,1
110,18531,198289.Fields_of_Fire,James Webb,James Webb,,,2
111,18532,10450750-avatar,,Bryan Konietzko,,,2
112,18533,10306358-we-the-animals,Justin Torres,Justin Torres,New York City,40.71277777777778 -74.00611111111111,1
113,18534,7140220-twilight-and-history,Nancy Reagin,Nancy R. Reagin,,,2
114,18535,5016341-daglicht,Okke Jager,Marion Pauw,,,2
