217,24812.The_Complete_Calvin_and_Hobbes,Bill Watterson,Bill Watterson,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
218,546018.Roots,,Alex Haley,"Ithaca, New York",42.443333333333335 -76.5,1
219,10614.Misery,Stephen King,Stephen King,Maine,45.0 -69.0,1
220,6294.Howl_s_Moving_Castle,Diana Wynne Jones,Diana Wynne Jones,London,51.507222222222225 -0.1275,1
221,350.Stranger_in_a_Strange_Land,Robert A. Heinlein,Robert A. Heinlein,"Butler, Missouri",38.25861111111111 -94.335,1
222,41044096-island-of-the-blue-dolphins,Scott O'Dell,Scott O'Dell,"Los Angeles, California",,1
223,6892870-the-girl-who-kicked-the-hornet-s-nest,Stieg Larsson,Stieg Larsson,,,2
224,29044.The_Secret_History,Donna Tartt,Donna Tartt,"Greenwood, Mississippi",33.51861111111111 -90.18388888888889,1
225,32234.White_Oleander,"Fitch, Janet",Janet Fitch,California,35.491035 -119.347852,1
226,11614718-delirium,Chris Oakley,Lauren Oliver,Queens,40.75 -73.86666666666666,1
227,11505797-beautiful-disaster,Jamie McGuire,Jamie McGuire,Birkenhead,53.393 -3.014,1
228,12996.Othello,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
229,6442769-paper-towns,John Green,John Green,Indiana,40.0 -86.0,1
230,43814.The_Vampire_Lestat,Anne Rice,Anne Rice,"New Orleans, Louisiana",,1
231,39280444-speak,Dale Carnegie,Laurie Halse Anderson,"Potsdam (town), New York",,1
232,12505.The_Idiot,John Kendrick Bangs,Fyodor Dostoyevsky,"Yonkers, New York",40.94138888888889 -73.86444444444444,2
233,12938.King_Lear,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
234,43545.The_Once_and_Future_King,T. H. White,T.H. White,Mumbai,19.07611111111111 72.8775,2
235,227711.I_Know_This_Much_Is_True,Wally Lamb,Wally Lamb,"Norwich, Connecticut",41.55027777777778 -72.0875,1
236,14497.Neverwhere,Neil Gaiman,Neil Gaiman,Portchester,50.842 -1.12,1
237,1845.Into_the_Wild,Erin Hunter,Jon Krakauer,"Brookline, Massachusetts",42.33166666666666 -71.12166666666667,1
238,28194.Inkheart,Sonia Sander,Cornelia Funke,West Germany,,1
239,28881.Lamb,Christopher Moore,Christopher Moore,,,2
240,30236962-the-historian,John Rudd,Elizabeth Kostova,"New London, Connecticut",41.355555555555554 -72.09944444444444,1
241,188572.The_Complete_Sherlock_Holmes,Arthur Conan Doyle,Arthur Conan Doyle,Edinburgh,55.95333333333333 -3.1891666666666665,1
242,19380.Candide,Voltaire,Voltaire,Paris,48.856613 2.352222,1
243,6689.James_and_the_Giant_Peach,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
244,2184798.Blood_River,TIM BUTCHER,Tim Butcher,,,2
245,15997.Paradise_Lost,John Milton,John Milton,Bread Street,51.5144 -0.0966,1
246,32085.All_Creatures_Great_and_Small,James Herriot,James Herriot,"Sunderland, Tyne and Wear",,1
247,569564.The_Complete_Works,Robert Burns,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
248,40440.The_Thirteenth_Tale,Diane Setterfield,Diane Setterfield,,,2
